Pressure3pm,Temp3pm,WindSpeed3pm,Humidity3pm,WindDir3pm,RainTomorrow
1019.1,22.4,9.0,24.0,11,0
1011.0,20.8,19.0,68.0,3,1
1019.6,26.3,20.0,45.0,5,0
1015.5,28.4,11.0,30.0,3,0
1002.0,22.7,35.0,24.0,4,0
1015.2,18.1,17.0,36.0,0,0
1014.5,34.0,17.0,25.0,8,0
1014.4,18.6,9.0,91.0,12,1
1020.8,19.2,15.0,78.0,15,1
1005.7,21.3,15.0,25.0,4,0
1018.1,16.4,11.0,32.0,9,0
1014.4,27.8,15.0,63.0,11,0
1018.9,12.5,13.0,40.0,10,0
1015.5,27.7,11.0,24.0,10,0
1013.9,20.1,19.0,92.0,9,1
1028.0,15.9,26.0,62.0,11,1
1020.1,22.5,33.0,56.0,14,0
1022.7,27.4,13.0,25.0,11,0
1015.1,28.4,19.0,58.0,7,0
1014.6,29.1,11.0,49.0,14,0
1020.7,22.9,9.0,27.0,3,0
1017.9,15.6,22.0,59.0,9,0
1015.1,33.5,13.0,26.0,4,0
1015.4,18.5,7.0,40.0,1,0
1016.8,30.3,11.0,41.0,5,0
1000.9,34.6,33.0,21.0,0,0
1003.8,29.7,22.0,24.0,1,0
1019.6,16.8,17.0,50.0,8,0
1017.3,27.9,17.0,37.0,2,0
1010.3,22.2,28.0,59.0,9,0
1020.8,26.0,20.0,16.0,14,0
1001.8,32.6,9.0,46.0,0,0
1009.5,23.9,37.0,75.0,15,0
1006.2,38.9,30.0,15.0,4,0
1016.6,23.1,17.0,69.0,2,1
1016.1,14.2,26.0,45.0,1,0
1018.0,19.8,22.0,32.0,9,0
1018.3,16.0,11.0,43.0,7,0
1009.4,34.7,24.0,27.0,10,0
1015.8,19.5,17.0,73.0,10,1
1013.1,25.2,7.0,56.0,11,0
1019.6,26.5,13.0,19.0,8,0
1023.8,13.4,9.0,62.0,5,0
1011.6,21.0,13.0,99.0,9,1
1011.9,29.8,13.0,23.0,2,0
1021.8,17.3,9.0,45.0,14,0
1014.0,16.1,6.0,58.0,3,0
1020.4,13.0,9.0,97.0,11,1
1010.7,8.7,13.0,77.0,12,1
1017.6,29.0,13.0,26.0,6,0
1005.8,34.1,17.0,46.0,15,1
1011.6,39.2,13.0,15.0,14,0
1016.8,23.2,17.0,25.0,3,0
1014.4,17.7,26.0,61.0,10,0
1017.2,18.4,28.0,24.0,3,0
1014.4,9.7,20.0,72.0,8,1
1011.0,24.9,30.0,61.0,15,0
1010.7,36.6,17.0,28.0,10,1
1012.5,17.6,30.0,78.0,15,1
1027.1,15.2,11.0,57.0,1,0
1011.2,16.5,22.0,43.0,10,0
1015.2,27.0,35.0,64.0,14,0
1013.9,19.2,24.0,28.0,1,0
1012.3,28.6,22.0,38.0,0,0
1024.7,20.4,6.0,61.0,6,1
1011.2,27.2,24.0,57.0,14,1
1021.6,15.3,2.0,48.0,13,0
1015.6,13.8,37.0,31.0,1,0
1021.3,25.1,17.0,31.0,14,0
1020.5,21.5,30.0,92.0,2,1
